threads,speedup,efficiency,time_seq,time_par
1,1.0663,1.0663,18.839284,17.667453
2,1.8456,0.9228,18.839284,10.207618
3,2.6876,0.8959,18.839284,7.009593
4,3.2498,0.8125,18.839284,5.797013
5,3.9874,0.7975,18.839284,4.724681
6,4.5561,0.7594,18.839284,4.134950
7,2.8746,0.4107,18.839284,6.553674
8,3.0996,0.3875,18.839284,6.077934
9,3.1653,0.3517,18.839284,5.951791
10,3.2961,0.3296,18.839284,5.715665
11,3.4741,0.3158,18.839284,5.422729
12,3.6367,0.3031,18.839284,5.180285
